statement,category
"Petitions against conviction for prisoners' escape from Karachi Central Prison; lower-ranking prison staff convicted, higher officials acquitted under ATA.",Criminal
Criminal petition for pre-arrest bail in a cross-version FIR under PPC for assault and unlawful assembly; LHC order challenged.,Criminal
"Supreme Court grants pre-arrest bail in criminal petition challenging Lahore High Court's refusal, involving property dispute, trespassing, and firing.",Criminal
"Supreme Court grants post-arrest bail in murder case (S.302 PPC) despite absconsion, citing generalized allegations and no recovery.",Criminal
"Appeal against conviction under Narcotic Substances Act for Charas possession, challenging forensic report, declined by Supreme Court.",Criminal
"SC grants leave to appeal High Court's Daniel Pearl murder/abduction judgment, challenging convictions and acquittals under ATA.",Criminal
"Bail granted in FIR No. 875/2015, Peshawar; petition converted to appeal, allowed subject to sureties.",Criminal
Bail granted for Drugs Act violation; Suo Motu initiated concerning unregulated alternate medicines and their regulatory framework.,Criminal
Supreme Court grants bail in criminal petition for murder conspiracy linked to immovable property dispute.,Criminal
"Supreme Court upholds triple homicide death sentence conviction, dismissing arguments on proof beyond doubt and procedural lapses.",Criminal
"Bail granted in honour killing murder case; SC notes investigation flaws, Qazf Ordinance, and need for lady police officers.",Criminal
"Supreme Court dismissed criminal petition for post-arrest bail in corruption/fraud case, condoning filing delay due to incarceration.",Criminal
"Criminal Petition challenging High Court's acquittal in a murder case, upheld due to prosecution's inconsistent evidence and benefit of doubt.",Criminal
"Criminal Petition directs IG Police to improve investigation quality, officer training, and law and order; petitioner withdraws bail application.",Criminal
Criminal petition for sentence suspension dismissed due to petitioner's non-surrender to imprisonment order per Supreme Court Rules.,Criminal
SC grants post-arrest bail in Rs. 52M fraud case; co-accused's confession lacked independent corroboration for petitioner's involvement.,Criminal
Criminal petition for leave to appeal against bail refusal in a murderous assault case (S. 324 PPC).,Criminal
"Interpreting ""hardened, desperate or dangerous criminal"" under S.497(1) CrPC for statutory bail; petitioner accused of severe assault.",Criminal
"Supreme Court grants post-arrest bail in murder case due to suspected injuries and insufficient evidence, overturning High Court decision.",Criminal
"Supreme Court denied bail in a double murder case under Anti-Terrorism Act, finding the accused a hardened criminal, despite trial delay.",Criminal
SC upholds High Court's denial of bail in murder case due to 16-year abscondance and strong evidence.,Criminal
Petitioner sought transfer of family/criminal cases; made scandalous accusations against judges; Supreme Court reduced High Court's imposed cost.,Criminal
"SC cancels pre-arrest bail in Section 489-F PPC cheque dishonour, citing lack of mala fide grounds.",Criminal
"Pakistan Supreme Court acquits murder convicts, extending benefit of doubt due to prosecution's flawed case.",Criminal
Post-arrest bail case reveals grave FIR omission; court issues AOR misconduct notice for misleading record in criminal justice.,Criminal
"Supreme Court grants post-arrest bail for murder (302/34 PPC) in land dispute case; police record manipulation, general FIR.",Criminal
"Supreme Court grants pre-arrest bail in fraud/forgery case (420/468/471 PPC) for alleged property deprivation, setting aside High Court order.",Criminal
Petitioner denied bail for 1320 grams cannabis possession under CNS Act; Supreme Court declines leave to appeal.,Criminal
"Post-arrest bail in murder, abduction, and house-breaking (S.302, 365, 458 PPC) dismissed due to incriminating evidence and abduction concerns.",Criminal
"Supreme Court declines leave in criminal petition concerning robbery, identification, and recovery of stolen articles; bail denied.",Criminal
Supreme Court dismisses petition against conviction under Control of Narcotic Substances Act for charas and heroin possession.,Criminal
"SC cancels post-arrest bail in double murder case, finding High Court's order perverse and based on unsubstantiated IO opinion.",Criminal
No judgment text provided for analysis.,Civil
"Criminal Petition for bail in murder case (Ss.302, 109 PPC) based on alibi, overturning High Court refusal.",Criminal
No judgment text provided; unable to extract case details for analysis.,Civil
Supreme Court declines leave to appeal bail cancellation in murderous assault (S.324 PPC) due to serious injury and abscondence.,Criminal
"Supreme Court grants post-arrest bail to a lady accused in a Section 489-F PPC dishonored cheque case, citing procedural grounds.",Criminal
Pre-arrest bail appeal dismissed due to 74-day delay without condonation; limitation applies strictly to pre-arrest bail petitions.,Criminal
"Murder conviction (302/34 PPC) overturned; SC found reasonable doubt due to ocular/medical contradictions, alibi, and negative weapon report.",Criminal
Criminal Petition for bail in murder case under Section 497 CrPC due to insufficient evidence for culpability.,Criminal
"Supreme Court grants pre-arrest bail in criminal petition, citing consistency with co-accused's post-arrest bail and FIR delay.",Criminal
"Post-arrest bail granted in 324/427/34 PPC case due to non-fatal injury, weak evidence, and further inquiry.",Criminal
"Criminal petition challenging conviction for rape and murder, confirming capital punishment based on DNA and circumstantial evidence.",Criminal
Petition for leave to appeal against conviction for murderous assault under S.324 PPC; High Court reduced sentence.,Criminal
"Bail denied for narcotics offence; non-compliance with search warrant provisions (KPK Act) held directory, not vitiating recovery.",Criminal
"SC declares Imran Khan's NAB arrest from IHC unlawful, violating fundamental rights and court sanctity; orders IHC production.",Constitutional
"Supreme Court declared Imran Khan's arrest from High Court premises unlawful, violating access to justice and court dignity.",Constitutional
"SC denies bail in explosives and arms case, canceling co-accused's bail due to erroneous High Court decision on expert evidence.",Criminal
"NAB challenges Lahore High Court acquittal in corruption, fraud, fake documents case under Accountability Ordinance.",Criminal
"Criminal petition for post-arrest bail in murder case; petitioner fugitive, bail denied due to no fresh grounds.",Criminal
Supreme Court cancels post-arrest bail in murder case (302/34/324 PPC) due to Lahore High Court's perverse order ignoring evidence.,Criminal
Post-arrest bail for forgery/cheating (PPC) denied; lower courts failed to apply CrPC 497(1) 'bail as rule' principle.,Criminal
Criminal bail petition denied for unauthorized electricity generation via gas siphoning and criminal intimidation of police.,Criminal
Supreme Court dismisses petitions against High Court's alteration of murder conviction (302 PPC) from death to life imprisonment.,Criminal
"Supreme Court grants pre-arrest bail in murder (S. 302 PPC) case, citing delayed witness statements and false involvement allegations.",Criminal
"Criminal bail petition challenging medical board's fabrication opinion conflicting with initial fracture diagnosis, seeking release.",Criminal
"Criminal petition against denial of pre-arrest bail for bounced cheques related to botched land sale, claimed as family feud security.",Criminal
Supreme Court declines leave against High Court's refusal of bail in murderous assault case.,Criminal
Murder conviction appeal dismissed; High Court's sentence reduction from death to life due to unproven motive upheld.,Criminal
"Supreme Court grants bail in murder abetment case due to insufficient evidence, converting criminal petition to appeal.",Criminal
"Petitioner's appeal against conviction under 489-F PPC for bounced cheque; sentence upheld, habitual offender status noted.",Criminal
"Criminal petition for post-arrest bail in murder charges (302/324 PPC) dismissed, affirming High Court's denial of bail.",Criminal
Supreme Court dismisses criminal petitions for bail cancellation due to delay; non-appearance and non-bailable warrants automatically cancel bail.,Criminal
"Criminal petition challenging conviction for attempted murder (324 PPC) and hurt, upheld by SC on evidence.",Criminal
"Petitioners appeal robbery/homicide convictions, challenging test identification parade validity and evidence in hospital robbery case.",Criminal
"Petition to cancel bail, focusing on medical opinion conflict regarding injuries (PPC) for Article 185(3) review.",Criminal
"Criminal Petition on prosecution's excessive challan submission delay violating CrPC s.173, impacting fair trial and speedy justice.",Criminal
"Supreme Court upholds post-arrest bail granted on statutory delay, confirming subsequent delay is a fresh ground for a second bail application.",Criminal
"Supreme Court denies bail in a criminal petition involving murderous assault with firearms during a property dispute, upholding High Court's order.",Criminal
"Post-arrest bail for bounced cheques, initially granted then cancelled over disputed Iqrarnama, ultimately allowed by Supreme Court.",Criminal
"Petitioner acquitted of zina/rape conviction due to victim's implausible testimony, dubious DNA, and benefit of doubt.",Criminal
"Supreme Court grants post-arrest bail in murder case, considering self-defense against rape attempt, condoning delay.",Criminal
"SC denies bail petition in murder case, rejecting non-compliance and direct complaint as fresh grounds.",Criminal
Criminal Petition against High Court judgment; SC grants bail in ANF narcotics case due to insufficient evidence of abetment.,Criminal
"Bail declined for Muhammad Noman Munir in narcotic possession (cannabis, heroin) case; no public witness issue.",Criminal
"SC granted pre-arrest bail in a criminal case regarding crop destruction, citing a pending land dispute and significant FIR delay.",Criminal
"Murder conviction ignored common object/intention, relying on individual liability; Supreme Court remanded for judgment re-writing considering Sections 34/148/149 PPC.",Criminal
"Supreme Court grants bail in murder case; petitioner Aqal Khan released, converting petition to appeal despite alleged presence.",Criminal
"Criminal petition for bail in ex-wife's murder; complainant's affidavit subverting evidence, necessitating witness protection; petition withdrawn.",Criminal
Constitutional appeal under Article 185(3) of Pakistan's 1973 Constitution against a High Court decision.,Constitutional
Bail granted for unlicensed weapons due to delayed challan; court addresses perennial police investigation delays in KP.,Criminal
"Supreme Court clarifies Justice of Peace powers, scope, and procedures under Cr.P.C. sections 22-A and 22-B for applications.",Criminal
"Criminal petition for pre-arrest bail denied by Supreme Court due to unlawful assembly, injuries, repeated violence, and conduct.",Criminal
"Supreme Court dismisses petition for bail cancellation in murder, terrorism charges, upholding High Court order.",Criminal
"Petitioner seeks bail via sentence suspension pending appeal against life imprisonment conviction, citing co-accused acquittal and inconsistent evidence.",Criminal
Post-arrest bail on trial delay; SC clarifies High Court's constitutional power (Art. 199) for fundamental rights against Ordinance limitations.,Criminal
"SC grants bail to petitioner in triple murder case, citing instigation role and CrPC S.497(2) application.",Criminal
"Supreme Court sets aside High Court's cash deposit bail condition in financial scam, citing legal framework and equality before law.",Criminal
"SC reviews High Court's pre-arrest bail denial for criminal trespass, assault; citing delayed FIR, dubious medical report.",Criminal
Criminal Petition for bail in murder case; petitioner's culpability (community of intention) for vehicle-related death to be probed.,Criminal
Murder conviction under S.302(b) PPC; death penalty converted to life imprisonment due to mitigating circumstances.,Criminal
"SC grants post-arrest bail in narcotic substance (opium) case, citing prosecution story discrepancies and unconvincing evidence.",Criminal
"Criminal Petition against murder acquittal based on circumstantial evidence; consolidated FIR/private complaint trial, but no failure of justice.",Criminal
SC cancels post-arrest bail for homicide accused; High Court erred by ignoring absconsion and joint role in fatal shooting.,Criminal
"Bail declined for petitioner in fatal shooting case, citing abscondence and unproven self-defense cross-version in property dispute.",Criminal
"Bail denied in murder case despite co-accused acquittal, citing strong evidence, long absconsion, upholding High Court's decision.",Criminal
Pre-arrest bail appeal for petitioner in Rs. 700M fraud (420/468/471 PPC) confirmed due to consistency rule and delayed implication.,Criminal
"Criminal petition for pre-arrest bail; High Court order challenged; fabricated injuries and mala fide intent found, requiring further inquiry.",Criminal
Criminal appeal: Riasat Ali acquitted of murder charges due to insufficient evidence after prior compromise regarding another deceased.,Criminal
"Supreme Court sets aside High Court's appointment order, deeming it judicial overreach violating separation of powers in MEPCO recruitment.",Constitutional
Post-arrest bail granted in 489-F PPC dishonored cheques case arising from a business dispute; punishment outside prohibitory clause.,Criminal
Post-arrest bail granted in Section 408 PPC criminal breach of trust case due to insufficient evidence and co-accused consistency.,Criminal
"Criminal petition for bail in triple homicide. Bail granted; suspicion, polygraph, delayed witness statements insufficient. S.497(2) CrPC.",Criminal
"SC grants post-arrest bail in a dishonoured cheque case (S.489-F PPC) arising from a rent dispute, overturning Lahore High Court.",Criminal
Dismissal of Criminal Petition for Leave to Appeal against High Court judgment concerning a criminal matter.,Criminal
"Supreme Court revises rape conviction to fornication despite DNA match, citing lack of resistance; dissent highlights victim dignity and consent.",Criminal
Criminal Petition challenging CNSA conviction for poppy plant recovery; acquittal due to prosecution's failure to prove narcotic content.,Criminal
"Supreme Court examines murder conviction, ruling police diary and investigation officer's opinion inadmissible, leading to acquittal due to inconsistent evidence.",Criminal
"Criminal Petition for Leave to Appeal: Supreme Court reviews lower court decisions, examining record discrepancies, including NADRA data.",Criminal
"Criminal Petition challenging High Court's unlawful sentence reduction in 302(b) PPC murder conviction to ""already undergone,"" remanding for reconsideration.",Criminal
Narcotics conviction under CNS Act upheld; forensic analysis and contraband discrepancy arguments rejected.,Criminal
"Murder conviction challenged; Supreme Court acquits one accused, maintains other's sentence, denies complainant's plea for death penalty.",Criminal
SC refuses bail in drug trafficking case under CNS Act; massive narcotics recovered from petitioner's car.,Criminal
"Supreme Court denies pre-arrest bail in fraud case involving bogus property documents, citing petitioner's criminal history and deceitful conduct.",Criminal
"Second pre-arrest bail petitions dismissed for non-appearance; requires satisfactory explanation for maintainability, involving fraud/forgery.",Criminal
Criminal petition on witness summoning/re-examination in murder trial under Section 540 Cr.P.C. challenging High Court judgment.,Criminal
"Supreme Court grants pre-arrest bail in triple murder abetment case, emphasizing alibi evidence over mere malafide proof for liberty.",Criminal
"SC expunges High Court strictures against NAB officials for alleged misconduct during inquiry/investigation, infringing fair trial rights.",Criminal
"Petitioners' challenge to conviction under Drugs Act, 1976 for unregistered drugs dismissed by Supreme Court.",Criminal
Supreme Court reviews murder conviction under S.302 PPC for Zeeshan alias Shani; complainant's acquittal appeal denied.,Criminal
SC grants post-arrest bail in 302 PPC murder case; petitioner found innocent during investigation under S.497(2) Cr.P.C.,Criminal
Post-arrest bail denied for Section 489-F PPC offense (dishonored cheques) due to petitioner's abscondence and repeat offenses.,Criminal
"Post-arrest bail granted in cybercrime case for sharing objectionable videos, based on consistency with co-accused's bail.",Criminal
"Supreme Court cancels murder bail (FIR 146/2020) granted by High Court, finding reasoning perverse and upholding criminal justice.",Criminal
"Supreme Court grants post-arrest bail in blasphemy case (PPC 295-A, B, C) due to lack of corroboration and procedural deficiencies.",Criminal
"Blasphemy bail granted by SC citing lack of corroboration, procedural flaws, and fundamental rights violation.",Criminal
"Supreme Court dismisses criminal petition against murder acquittal, citing contradictory witness testimonies, uncorroborated evidence, and lack of forensic examination.",Criminal
"Criminal petition seeking jail facilities for mother and suckling baby, with directives for expedited trial and fresh bail possibility.",Criminal
"SC sets aside High Court's post-arrest bail for murderous assault, finding misapplication of Cr.P.C. Section 497 regarding 'further inquiry'.",Criminal
SC remits criminal appeal: High Court's sentence enhancement in revision without mandatory notice u/s 439(2) Cr.P.C. violated fair trial.,Criminal
"Petitioner granted statutory post-arrest bail in blasphemy case due to trial delay not attributable to accused, per CrPC and Constitution.",Criminal
"Petitioners sought FIR quashment for gas theft, arguing the 2016 Gas Act overrides police powers; SC affirmed police jurisdiction.",Criminal
Woman denied post-arrest bail in dacoity case; Supreme Court examines Section 497(1) CrPC proviso for women accused.,Criminal
"Judgment text missing, unable to derive case statement or details.",Civil
Criminal petition challenging bail cancellation for attempted sodomy with a child; Supreme Court upheld High Court's decision due to medical evidence.,Criminal
SC quashes blasphemy charges (295-B/C PPC) against Ahmadis for private religious practices within worship place.,Criminal
"Supreme Court adjourns petitions by Imran Khan Niazi against Election Commissioner, awaiting High Court order, seeks jail conditions report.",Criminal
"Imran Khan Niazi's Election Act conviction challenged for ex-parte trial, denied defence, and High Court remand defiance; sentence suspension awaited.",Criminal
"Bail granted in murder case; petitioner, an unknown assailant identified later, due to conflicting medical evidence.",Criminal
Criminal Petition for Leave to Appeal against High Court judgment regarding double murder conviction.,Criminal
"Supreme Court granted pre-arrest bail in firearm injury case, finding false implication and doubt in prosecution after investigation.",Criminal
Criminal petition challenging LHC's bail dismissal in murder case; contradictions in evidence and police deeming petitioners innocent warrant further inquiry.,Criminal
"Supreme Court grants post-arrest bail, clarifying witness statements recorded in police case diaries under Cr.P.C. Sections 161, 172.",Criminal
Criminal petition challenging Qatl-i-Amd conviction; High Court conviction set aside due to flawed evidence against co-accused.,Criminal
SC grants post-arrest bail for dishonored cheque (489-F PPC) reversing Lahore High Court's denial.,Criminal
"Criminal Petition challenging murder and robbery conviction; SC upholds murder, sets aside robbery, modifies sentence.",Criminal
"Appeal against murder conviction and sentence reduction (death to life) under 302 PPC, relying on dying declaration and mitigating circumstances.",Criminal
Petition for post-arrest bail against High Court's denial in sexual harassment case under Electronic Crime Act.,Criminal
"Post-arrest bail granted for abetment in murder due to insufficient evidence, invoking Section 497(2) Cr.P.C.",Criminal
Bail denied in alleged bigamous marriage case; Supreme Court orders expedited trial within three months and legal aid.,Criminal
"Post-arrest bail granted in murder/injury case (S.302/324 PPC), absent clear common intention at FIR stage.",Criminal
State challenges High Court's order to return seized currency in illegal foreign exchange case under Foreign Exchange Regulation Act.,Criminal
Woman's bail denied in narcotic substances (methamphetamine) case despite CrPC 497(1) due to likelihood of repeating offence.,Criminal
Supreme Court cancels anticipatory bail granted by Lahore High Court in a murderous assault case involving multiple injuries.,Criminal
Criminal petition challenging Qatl-i-Amd conviction (S.302 PPC) based on solitary witness; Supreme Court denied leave to appeal.,Criminal
"Supreme Court reviews convictions and acquittals for violent brawl, double murder, and Anti-Terrorism Act charges.",Criminal
ANF challenges High Court's post-arrest bail for narcotics accused on medical grounds; Supreme Court dismisses petition.,Criminal
Petitioner seeks post-arrest bail for statutory trial delay in a blasphemy case; Supreme Court clarifies S.497(1) CrPC scope.,Criminal
"Supreme Court grants post-arrest bail in Section 302/34 PPC murder case concerning 'Lalkara' role, for further inquiry.",Criminal
"SC grants post-arrest bail in murder case (S. 302, 324 PPC) due to ineffective firing and no overt act.",Criminal
Criminal petition for post-arrest bail in murder case (302/324/34 PPC) granted under S.497(2) Cr.PC due to further inquiry.,Criminal
"Supreme Court dismissed withdrawn pre-arrest bail appeal, clarified appellate jurisdiction versus original, imposed costs for vexatious petition.",Criminal
"Post-arrest bail granted in S.302 PPC murder case; initial FIR silent, later implication, requiring further inquiry.",Criminal
Quashing blasphemy charges for distributing banned book; unconstitutional retrospective law application; bail granted after excessive detention.,Criminal
Supreme Court confirms pre-arrest bail in murder case (s. 302/324/34 PPC) citing further inquiry grounds under Cr.PC.,Criminal
Post-arrest bail denied for statutory trial delay; Supreme Court interpreted Cr.P.C. 497(1) regarding delay and 'hardened criminal' exceptions.,Criminal
"Petitioner seeks post-arrest bail in kidnapping/abduction case, citing co-accused bail and further inquiry, allowed.",Criminal
"Supreme Court clarifies Section 498-A CrPC; pre-arrest bail cannot be dismissed on merits for non-appearance, allowing fresh petition.",Criminal
"Pre-arrest bail petition dismissed due to petitioner's absence and AOR's lack of information, highlighting AOR's pivotal role.",Criminal
"Pre-arrest bail granted in corruption case concerning bogus vehicle registrations by Excise & Taxation officials, warranting further inquiry.",Criminal
Criminal petitions challenging bail denial in narcotic substance seizure case involving 56.400 kg cannabis and multiple FIRs.,Criminal
"Supreme Court allows appeal against striking down of cross-examination right in Illegal Dispossession Act criminal case, ensuring fair trial.",Criminal
"Petitioners denied bail in Hajj/Umrah fraud; SC directs government agencies to curb fake travel agencies, promote public awareness.",Criminal
"Supreme Court granted bail after arrest to a woman under Cr.P.C. 497(1) proviso, affirming Article 10A defense rights.",Criminal
Petitioner convicted under ATA 1997 for violating bond and absconding after being listed in Fourth Schedule; leave to appeal declined.,Criminal
Petitioner's conviction under Control of Narcotic Substances Act overturned due to absence of forensic analysis protocol in the report.,Criminal
"Criminal petition for bail in abduction/rape case, defense claims consensual marriage; allowed due to grounds for further inquiry.",Criminal
"Petitioners challenged conviction for illegal fishing with banned net under Balochistan Sea Fisheries Ordinance, seeking confiscated craft release.",Criminal
Criminal petition for anticipatory bail regarding a Rs. 57.6 million financial scam involving public funds embezzlement through bogus pension payments.,Criminal
"SCP reversed LHC's pre-arrest bail cancellation in criminal assault/trespass case, restoring petitioners' bail.",Criminal
Criminal petition: post-arrest bail in murder linked to property feud denied; consistency principle declined due to weapon recovery.,Criminal
Criminal petition challenging homicide and murderous assault conviction stemming from election rivalry; Supreme Court upheld judgment.,Criminal
"Supreme Court reviews High Court overturning abduction acquittal, convicting petitioners under PPC S.365 despite earlier trial court acquittal.",Criminal
Supreme Court denies post-arrest bail for sharing child pornographic content via Facebook under Electronic Crimes Act.,Criminal
"Supreme Court grants post-arrest bail in murder case (302/324 PPC) due to general role, FSL report, requiring further inquiry.",Criminal
Criminal petition for bail alleging false implication under ATA & Explosive Substances Act; SC found police negligence.,Criminal
Bail granted in 1833g charas possession case due to false implication claims and lack of video evidence by police during arrest/seizure.,Criminal
"Supreme Court acquits petitioner in homicide and terrorism appeal, citing prosecution doubts and inconsistent evidence.",Criminal
Criminal petition challenging narcotics conviction (9600g cannabis) under Control of Narcotic Substances Act; Supreme Court declined leave to appeal.,Criminal
Bail granted in murder case with masked assailants due to insufficient evidence primarily relying on a supplementary statement.,Criminal
Supreme Court granted pre-arrest bail for theft (379 PPC) of wheat crop due to land dispute and further inquiry.,Criminal
"Criminal petition for bail in double murder due to contradictory statements and delayed nomination, pending trial.",Criminal
"SC grants post-arrest bail in murder case (302/34 PPC), setting aside High Court's bail cancellation for legal error.",Criminal
"Criminal petition for bail granted due to statutory delay in trial (3+ years), emphasizing fair trial rights under Article 10-A.",Criminal
Criminal petition for statutory bail due to trial delay; co-accused delay not attributable for 497(1) Cr.P.C. right.,Criminal
"Bail granted for narcotic offense due to unreasonable delay in forensic sample submission, questioning safe custody.",Criminal
"SCP grants pre-arrest bail in alleged Rs. 60M fraud, sorcery case; civil dispute converted to criminal prosecution.",Criminal
"Murder case: Petitioner challenged High Court order allowing accused's re-cross-examination; SC upheld fair trial right, rejected 'joint cross-examination'.",Criminal
Supreme Court sets aside High Court's condition of Rs.3.5 million deposit for post-arrest bail in PECA/PPC case.,Criminal
"Conviction upheld for contracting second marriage without Arbitration Council permission under Muslim Family Laws Ordinance, 1961.",Criminal
"Pre-arrest bail granted in fraud/cheating case (forged cheque, joint account) due to lack of forensic evidence and co-accused bail.",Criminal
"Post-arrest bail granted in murder case (S. 302 PPC) due to lack of evidence, co-accused bail, and petitioner having suckling baby.",Criminal
"Petitioner seeks post-arrest bail for wife's strangulation murder; suicide plea rejected by autopsy, lower courts.",Criminal
Supreme Court cancels pre-arrest bail in criminal petition against Lahore High Court order for murderous assault and homicide.,Criminal
"Criminal petition for bail in fatal shooting, petitioner accused of abetment, warranting further probe under CrPC S.497(2).",Criminal
Criminal appeal: petitioners granted bail upon furnishing bonds as directed by the trial court.,Criminal
SC grants post-arrest bail to former PM/FM in Official Secrets Act case involving classified document disclosure.,Criminal
Petitioner granted bail in homicide case due to contradictory evidence regarding his alleged role in the shooting.,Criminal
"Criminal Petition for bail in F.I.R. 437/2016 allowed by Supreme Court, petitioners admitted to bail.",Criminal
"Double murder conviction appeal; SC acquits one accused, maintains life imprisonment for other, dismissing complainant's petition.",Criminal
Petitioner's pre-arrest bail dismissed; previous withdrawal bars subsequent petition without fresh grounds in alleged rape case.,Criminal
Criminal petition for bail dismissed as withdrawn; petitioner sought alternate remedy after prior withdrawals for fresh ground.,Criminal
"Criminal petition against Lahore High Court judgment upholding homicide conviction; altered death sentence to life imprisonment, acquitted co-accused.",Criminal
Criminal petition against Lahore High Court's judgment on murder conviction and altered sentence; leave to appeal refused.,Criminal
"Supreme Court grants bail to female accused in theft case, citing no prohibitory clause violation or past record.",Criminal
"Bail denied for non-compliance of CNS Rules 4(2) (narcotic analysis dispatch), rule being directory; trial expedited due to delays.",Criminal
"Bail refused for petitioners accused of blasphemy and electronic crimes via WhatsApp/Google Drive, disseminating banned religious content.",Criminal
Supreme Court upholds homicide and murderous assault conviction stemming from a property feud; criminal petition rejected.,Criminal
Supreme Court grants post-arrest bail in a bounced cheque criminal case after failed anticipatory bail attempt.,Criminal
Supreme Court granted post-arrest bail in a murder case (FIR 721/2023) under Cr.P.C. 497(2) due to investigation discharge.,Criminal
"SC allows pre-arrest bail against LHC denial in FIR for armed trespass, firing, property damage over family dispute.",Criminal
Petitioner granted bail in blasphemy case (295-C PPC) due to illegal police house entry without warrant and procedural flaws.,Criminal
"Bail granted in blasphemy case due to illegal house entry, police procedural violations, and infringement of fundamental constitutional rights.",Criminal
Supreme Court remands murder conviction case for re-examination of common intention/object vs. individual liability under PPC guidelines.,Criminal
Supreme Court grants post-arrest bail in a dishonored cheque case (Section 489-F PPC) as it's not under prohibitory clause.,Criminal
"Supreme Court affirms High Court's murder acquittal of accused challenged by complainant, finding no infirmity or illegality.",Criminal
"Supreme Court grants post-arrest bail in armed robbery case due to inordinate FIR delay, no recovery, and insufficient evidence.",Criminal
"Confirmed pre-arrest bail in abduction case, citing mala fide; also directed strict adherence to rape investigation SOP.",Criminal
"Supreme Court grants bail in murder case (S. 302 PPC) citing contradictory witness statements, delayed recording, and 'further inquiry' scope.",Criminal
"Pre-arrest bail granted in S.440 PPC crop destruction case, citing pending civil land dispute, false implication, and further inquiry.",Criminal
Petition for post-arrest bail in murder case (S.302/34 PPC) allowed due to delayed FIR nomination and inconsistencies.,Criminal
"SC grants pre-arrest bail in criminal petition for assault, clarifying scope of Article 185(3), Cr.P.C. 497/498, and malafide considerations.",Criminal
"Bail petition in murder case dismissed; statutory delay unavailable, but trial expedited within two months, condemning lawyer strikes.",Criminal
"Criminal petition denied for red-handed recovery of 1200g amphetamine, invoking Control of Narcotic Substances Act, 1997.",Criminal
"Anticipatory bail denied for possessing substandard, unhygienic meat with fake stamps on a meatless day, endangering public health.",Criminal
"Supreme Court granted post-arrest bail in a murder/attempted murder case due to delayed FIR, counter FIR, and two versions.",Criminal
"Pre-arrest bail denied in case involving court complex violence between rival property developers, with Anti-Terrorism Act implications.",Criminal
"Petitioner seeks leave to appeal conviction under sections 466, 467, 474, 498-A PPC for depriving female legatees, arguing retrospective punishment.",Criminal
Supreme Court acquits petitioners in CNSA 1997 charas conviction due to prosecution's failure to prove safe sample transmission.,Criminal
Petitioner challenges High Court's suspension of sentence and bail for respondent convicted of murder under 302 PPC.,Criminal
"Criminal petition for bail denial against running over customs official during smuggling attempt, resulting in fatal injury.",Criminal
"Supreme Court affirms juvenile status in murder case despite conflicting age records; ossification test considered, upholding High Court order.",Criminal
"Supreme Court granted pre-arrest bail in a criminal petition involving assault, delayed FIR, and consistency with co-accused's bail.",Criminal
"SC sets aside sentence for dishonored cheque (489-F PPC), grants probation with community service under Probation of Offenders Ordinance.",Criminal
"Petitioner Zulfiqar granted bail by Supreme Court in murder case linked to property dispute, requiring further probe.",Criminal
"Supreme Court acquitted petitioners convicted for kidnapping for ransom and robbery, finding no terrorism nexus and prosecution failed reasonable doubt.",Criminal
"Supreme Court acquits petitioner in double murder case due to inconsistent evidence, disbelieved motive, and unreliable ocular account.",Criminal
Supreme Court grants post-arrest bail on statutory ground for attempted murder (324/34 PPC) due to trial delay exceeding 22 months.,Criminal
Criminal petition challenging murder conviction (Sajjad Hussain) leading to acquittal due to contradictory evidence and co-accused acquittal.,Criminal
Criminal petition challenging conviction under Control of Narcotic Substances Act for 15.600 kg drug trafficking.,Criminal
"Pakistan Supreme Court reviews gang-rape acquittal/conviction, Anti-Terrorism Court jurisdiction, and evidence sufficiency, including victim's testimony.",Criminal
"Court grants bail to 15-year-old, questioning police and magistrate for unjustified arrest, detention, and mechanical remand without evidence.",Criminal
"Bail granted in cross-cases with distinct versions and mutual aggression, applying similar treatment when effective role in fatal injury is unclear.",Criminal
"SC quashes Nawaz Sharif's conviction for aircraft hijacking/terrorism, finding his aircraft diversion orders lawful under emergency powers.",Criminal
Supreme Court grants bail in murder case and mandates concise order format for all future bail applications to tackle delays.,Criminal
"Criminal petition: Abduction/recovery of minors, DPO's false statements, and alleged bonded labor. IG Police directed to investigate.",Criminal
"Supreme Court addresses bonded labour in brick kilns, enforcing abolition act, social security registration, and activating vigilance committees.",Criminal
"Criminal bail petition dismissed due to counsel's obstructive conduct, referred to Bar Council for disciplinary action.",Criminal
"Supreme Court clarifies President's Article 45 pardon/remission powers, examining government policy, prison rules, and permissible classification under Article 25.",Constitutional
"Pre-arrest bail denied for Muhammad Ramzan in forgery and cheating (PPC 420, 468, 471) case, converted to appeal and granted.",Criminal
Supreme Court recalls post-arrest bail granted by High Court in murder case due to concealment and misapplication of law.,Criminal
Murder conviction reduced (302(b) to 302(c) PPC) due to grave and sudden provocation; clarifies admissibility of accused's first police statement.,Criminal
"Supreme Court reviews Ahmadi blasphemy case, clarifying finality of prophethood, religious freedom, and non-Muslim constitutional rights.",Criminal
"Criminal Review Petition challenging order, seeking interpretation of Constitution and Islamic Injunctions; religious institutions called for assistance.",Constitutional
Criminal review petition against property confiscation for foreign drug conviction; dismissed for misrepresentation and no legal merit.,Criminal
Criminal review petition challenging gang rape conviction under Hudood Ordinance; scope of review jurisdiction on evidence re-appraisal.,Criminal
