statement,priority
"SC grants pre-arrest bail in criminal petition for assault, clarifying scope of Article 185(3), Cr.P.C. 497/498, and malafide considerations.",High
"Bail petition in murder case dismissed; statutory delay unavailable, but trial expedited within two months, condemning lawyer strikes.",High
"Criminal petition denied for red-handed recovery of 1200g amphetamine, invoking Control of Narcotic Substances Act, 1997.",High
"Anticipatory bail denied for possessing substandard, unhygienic meat with fake stamps on a meatless day, endangering public health.",Medium
"Supreme Court granted post-arrest bail in a murder/attempted murder case due to delayed FIR, counter FIR, and two versions.",High
"Pre-arrest bail denied in case involving court complex violence between rival property developers, with Anti-Terrorism Act implications.",High
"Petitioner seeks leave to appeal conviction under sections 466, 467, 474, 498-A PPC for depriving female legatees, arguing retrospective punishment.",High
Supreme Court acquits petitioners in CNSA 1997 charas conviction due to prosecution's failure to prove safe sample transmission.,High
Petitioner challenges High Court's suspension of sentence and bail for respondent convicted of murder under 302 PPC.,High
"Criminal petition for bail denial against running over customs official during smuggling attempt, resulting in fatal injury.",High
"Supreme Court affirms juvenile status in murder case despite conflicting age records; ossification test considered, upholding High Court order.",High
"Supreme Court granted pre-arrest bail in a criminal petition involving assault, delayed FIR, and consistency with co-accused's bail.",High
"SC sets aside sentence for dishonored cheque (489-F PPC), grants probation with community service under Probation of Offenders Ordinance.",High
"Petitioner Zulfiqar granted bail by Supreme Court in murder case linked to property dispute, requiring further probe.",High
"Supreme Court acquitted petitioners convicted for kidnapping for ransom and robbery, finding no terrorism nexus and prosecution failed reasonable doubt.",High
"Supreme Court acquits petitioner in double murder case due to inconsistent evidence, disbelieved motive, and unreliable ocular account.",High
Supreme Court grants post-arrest bail on statutory ground for attempted murder (324/34 PPC) due to trial delay exceeding 22 months.,High
Criminal petition challenging murder conviction (Sajjad Hussain) leading to acquittal due to contradictory evidence and co-accused acquittal.,High
Criminal petition challenging conviction under Control of Narcotic Substances Act for 15.600 kg drug trafficking.,High
"Pakistan Supreme Court reviews gang-rape acquittal/conviction, Anti-Terrorism Court jurisdiction, and evidence sufficiency, including victim's testimony.",High
"Court grants bail to 15-year-old, questioning police and magistrate for unjustified arrest, detention, and mechanical remand without evidence.",High
"Bail granted in cross-cases with distinct versions and mutual aggression, applying similar treatment when effective role in fatal injury is unclear.",High
"SC quashes Nawaz Sharif's conviction for aircraft hijacking/terrorism, finding his aircraft diversion orders lawful under emergency powers.",High
Supreme Court grants bail in murder case and mandates concise order format for all future bail applications to tackle delays.,High
"Criminal petition: Abduction/recovery of minors, DPO's false statements, and alleged bonded labor. IG Police directed to investigate.",High
"Supreme Court addresses bonded labour in brick kilns, enforcing abolition act, social security registration, and activating vigilance committees.",High
"Criminal bail petition dismissed due to counsel's obstructive conduct, referred to Bar Council for disciplinary action.",Medium
"Supreme Court clarifies President's Article 45 pardon/remission powers, examining government policy, prison rules, and permissible classification under Article 25.",High
"Pre-arrest bail denied for Muhammad Ramzan in forgery and cheating (PPC 420, 468, 471) case, converted to appeal and granted.",High
Supreme Court recalls post-arrest bail granted by High Court in murder case due to concealment and misapplication of law.,High
Murder conviction reduced (302(b) to 302(c) PPC) due to grave and sudden provocation; clarifies admissibility of accused's first police statement.,High
"Supreme Court reviews Ahmadi blasphemy case, clarifying finality of prophethood, religious freedom, and non-Muslim constitutional rights.",High
"Criminal Review Petition challenging order, seeking interpretation of Constitution and Islamic Injunctions; religious institutions called for assistance.",High
Criminal review petition against property confiscation for foreign drug conviction; dismissed for misrepresentation and no legal merit.,Medium
Criminal review petition challenging gang rape conviction under Hudood Ordinance; scope of review jurisdiction on evidence re-appraisal.,High
"SCP addresses human trafficking, illegal immigration, unmonitored borders (Torkham/Chaman), FIA funding, fundamental rights, appointing commissions.",High
Criminal review: triple murder convictions under PPC 302(b) and ATA 7(a) modified; death sentence reduced to life after compromise.,High
Criminal review petition for concurrent commutation of life sentences in six abduction for ransom cases; second review dismissed.,Medium
"Criminal appeal against conviction for kidnapping, rape, and murder of a minor, acquitted due to insufficient circumstantial evidence.",High
"Criminal review petition challenges death sentence for murder, seeking remission based on juvenility and expectancy of life.",High
Appeals against conviction for Qatl-i-Amd during Haraba; Supreme Court acquitted due to unreliable judicial confession and lack of corroboration.,High
"Supreme Court affirms conviction for triple Qatl-i-Amd and robbery, rejecting identification parade and death penalty commutation pleas.",High
Criminal Shariat Appeal against murder conviction upheld by Federal Shariat Court; appellant acquitted due to prosecution's failure and doubts.,High
"Appeal against convictions for child kidnapping, rape, and murder; one death sentence commuted to life for minor.",High
"Advocate's alleged misbehavior with trial court; given time for concise statement or apology, ensuring due process.",High
"Reviewing bail cancellation in murder case; clarifying successive bail application principles, judicial inconsistency, and remarks against a High Court Judge.",High
Review petition: Army Act court's sentence enhancement from life to death without jurisdiction or hearing is nullified.,High
"Dismissing review petition against judgment declaring General Musharraf's 2007 emergency acts unconstitutional, citing no bias or condonable delay.",High
Review petition challenging Article 84 Constitution interpretation on Federal Government's power regarding supplementary grants and development fund distribution.,High
Review petitions by General (R) Parvez Musharraf against constitutional petitions dismissed as time-barred and lacking merit.,High
"Supreme Court reviews election disqualification of Nawaz/Shahbaz Sharif, restoring nomination papers, setting aside High Court judgment.",High
"Supreme Court stays JIT inquiry into security breach, litigant protocol, and alleged bias, ensuring transparency in Suo Motu case.",High
"Public universities governance petition: vacant VCs/tenured posts, non-compliance with statutes, fundamental rights violation under Article 184(3).",High
"Judges seek notices against COAS, PM for 2007 emergency proclamation, PCO related contempt, distinct from disobedience of court order.",High
Reko Diq mining lease dispute: SC directs Balochistan Government to decide TCC's application transparently regarding copper/gold exploration.,High
"No judgment text provided, unable to summarize case.",Low
"Supreme Court directs action against illegal constructions, environmental damage in Margalla Hills National Park; orders demolition and restoration.",High
"SC declares PTV Chairman's appointment, salary, expenses illegal; orders recovery for fiduciary breach, public exchequer loss under Article 184(3).",High
"SC probes non-registration of criminal FIR against Bahria Town for forest encroachment, tree destruction, and assaulting forest officers.",High
Application under Art. 184(3) alleging misuse of office by ISI/Armed Forces personnel; directed to pursue alternate remedies.,Medium
"Supreme Court clarifies law on second FIR for police encounter killing of Mohsin Ali, sought by mother.",High
No judgment text provided; unable to extract case details.,Low
"SC directs action on Pakistan Railways' colossal losses, CPEC ML-I, KCR bottlenecks, and operational failures causing accidents.",High
"Inquiry into alleged gross corruption, irregularities, and mismanagement of medicines/equipment in public hospitals, impacting health services and fundamental rights.",High
"Suo motu action on alleged gross corruption in hospital oxygen supply, medicine theft, and public health mismanagement.",High
"Alleged gross corruption in oxygen/medicine supply, theft from hospitals; Supreme Court summons officials, requisitions record in HRC.",High
Suo moto action on alleged gross corruption in hospital oxygen/medicine supply and theft; seeking detailed reports from C.A.D.D.,High
SC bench reconstitution challenged; Chief Justice's administrative powers versus judicial independence in Article 184(3) cases.,High
"Supreme Court addresses alarming population growth, linking it to fundamental rights and socio-economic challenges, urging national policy and action.",High
"Court stays abrupt removal of schools/commercial buildings from cantonment areas, protecting students' education and enforcing gradual removal.",High
"Supreme Court reviews legality of mobile company tax deductions (income, sales, excise) and Article 184(3) jurisdiction, citing revenue loss.",High
"Supreme Court reviews mobile tax deductions' legality under Article 184(3), declining interference with public revenue collection.",High
"Human Rights Case on delayed compensation for Quetta church terrorist attack victims and directive on using ""Masihi"" for Christians.",High
"SC addresses excessive load shedding in Sindh, K-Electric infrastructure, and regulatory powers under Electricity Act 1997, directing tribunal.",High
"Court directs Union Councils, NADRA to register Christian marriages in Punjab, clarifying Christian Marriage Act, 1872 licensing for solemnization.",High
"Supreme Court Suo Motu directs JIT probe into widespread fake bank accounts, money laundering, and unlawful financial transactions under Article 184(3).",High
"Supreme Court clarifies revenue authorities' jurisdiction over urban land mutations, affirming land revenue exemption under property tax laws.",High
"SC rules Chief Justice lacked chamber power to summon parties or issue orders, Human Rights Cell procedure illegal.",High
"Illegal public funds distribution by President, Army, ISI to manipulate 1990 elections, violating fundamental rights, mandates action.",High
"Supreme Court reviews 1990 election manipulation by state agencies (ISI, COAS) and misuse of public funds under Article 184(3).",High
"Supreme Court oversees Kasur minor girl murder investigation, ensuring fair trial amidst media conduct and probing false allegations.",High
"Supreme Court takes suo motu notice of slackness in fake bank accounts and money laundering probe, constitutes JIT.",High
"Challenge to 1990 election manipulation by state functionaries using public funds, violating fundamental right to fair elections.",High
"Supreme Court reviews Civil Miscellaneous Applications involving Article 184(3) constitutional jurisdiction, addressing fundamental rights/public importance.",High
Supreme Court directs utility companies to ensure equitable electricity supply amidst unprecedented load shedding through a human rights case.,High
"PIA CEO's illegal appointment, involving cronyism and mismanagement of national assets, challenged in Human Rights Case.",High
Supreme Court directs Army to produce Yaseen Shah and 34 other undeclared internees held unlawfully without internment orders.,High
"Human Rights Case by Air Marshal Asghar Khan, reviewing security agency reports and high-profile official statements.",High
"Supreme Court sets aside arbitrary civil servant BS-21 to BS-22 promotions, citing lack of merit, transparency, and rules under Article 184(3).",High
Suo moto action against illegal CNG licenses granted by ex-PMs; Federal Government withdrew DISCOs/KESC tariff notification.,High
"Human Rights Case: SC addresses unprecedented electricity load shedding; directs WAPDA and power entities to enhance generation, report shortages.",High
"SC examines unprecedented load shedding, electricity/gas supply, equitable distribution, pilferage, and national energy policy.",High
SC addresses non-availability of machine readable passports for 7500 overseas Pakistanis in China due to appointment delay.,High
Suo moto inquiry into PINSTECH's cancer diagnostic injections' contamination allegations found baseless; quality standards affirmed.,High
"SC addresses Pakistan's severe energy crisis, loadshedding, arbitrary electricity/CNG pricing, and government mismanagement, upholding fundamental rights.",High
"Suo motu on Gujrat school van fire, SC probes official negligence in vehicle safety, CNG cylinder regulation, and implementation failures.",High
"Supreme Court addresses non-compliance regarding missing persons illegally detained by Army, emphasizing constitutional rights and demanding legislation.",High
"Supreme Court orders criminal/disciplinary action against police for negligence, cover-up in Nankana Sahib rape of deaf/mute woman.",High
"Human rights case: Court orders Registrar's appearance, questions transfer, suspects obstruction of justice in criminal matter.",High
Supreme Court investigates alleged political cells in intelligence agencies and Presidency's role in supporting political parties.,High
"Supreme Court scrutinizes CDA's F-9 Park commercial leases (McDonald's, club, etc.) for constitutional rights, transparency, and regulation violations.",High
"SC voids Rental Power Plant contracts due to massive corruption, lack of transparency, PPRA rule violations, directing NAB action.",High
"SC scrutinizes Rental Power Plant (RPP) contracts, procurement, tariffs, and alleged power abuse by energy entities.",High
"HRC 184(3) on police negligence, denying justice and FIR registration for daughter's murder, upholding fundamental rights.",High
No judgment text provided for analysis.,Low
Supreme Judicial Council's jurisdiction over judge misconduct inquiries under Article 209 does not abate upon retirement or resignation.,High
Intra-Court appeals challenging SJC's power to continue misconduct proceedings against retired/resigned judges under Article 209.,High
Intra-Court appeals challenge Article 209 interpretation regarding SJC's jurisdiction over retired/resigned judges' misconduct inquiries.,High
SJC proceedings against a Judge shall not abate upon resignation or retirement during such proceedings; appeals partially allowed.,High
"Intra Court Appeals challenge NAB Ordinance amendments' unconstitutionality by a three-member bench, violating the Practice and Procedure Act.",High
Intra Court Appeals challenging a majority judgment that struck down National Accountability Ordinance amendments; raising bench constitution and petition maintainability issues.,High
"SCP denies live-streaming of appeals concerning accountability law amendments, citing potential political misuse by Imran Khan Niazi.",Medium
"Application for live streaming Supreme Court proceedings on National Accountability Ordinance amendments, invoking Article 19-A constitutional right to information.",High
"SC reviews police 'out-of-turn' promotions, declares them unconstitutional, ordering seniority re-fixation, withdrawing prior judicial protection.",High
"Intra Court Appeals challenge order declaring Army Act sections ultra vires, concerning civilian trials by military courts; seek suspension.",High
Appeal against contempt of court conviction for derogatory remarks against Supreme Court judges; apology rejected.,High
Prime Minister's Intra Court Appeal for deletion of questions regarding contempt of court and judicial influence.,High
Supreme Court judgment on the unconstitutionality of NRO 2007 and its impact on cases under National Accountability Ordinance.,High
PM's Intra-Court Appeal against contempt charge for non-compliance with NRO judgment directives rejected.,High
"Supreme Court reviews NRO's impact on public office accountability and corruption cases, emphasizing fiduciary duties.",High
"Supreme Court nullifies High Court orders attempting contempt against its judges, asserting judicial authority in Intra Court Appeals.",High
"Contempt proceedings against judges for taking PCO oath during 2007 unconstitutional emergency; parliamentary validation denied, immunity rejected.",High
"SC reviews Illegal Dispossession Act jurisdiction, requiring mens rea for cognizance; reverses lower court on alleged land encroachment.",High
Son-in-law's murder of mother-in-law over property dispute; Jail Petition against High Court's life imprisonment.,High
Acquittal of petitioners convicted under Explosive Substances Act/Anti-Terrorism Act for possessing explosives/suicide vest due to doubtful evidence.,High
"Petitioner convicted for fatal shooting of Sakina Bibi, seeks appeal; complainant seeks sentence enhancement and co-accused conviction.",High
"Supreme Court dismisses appeals against life imprisonment for kidnapping for ransom, upholding convictions from High Court.",High
"Jail petition: Murder conviction modified to 302(c) PPC for grave and sudden provocation/ghairat, reducing sentence to already undergone.",High
"Conviction upheld for possessing explosives (grenades, detonators) under Anti-Terrorism Act, 1997, linked to a proscribed organization.",High
Jail petition challenges murder conviction (S.302 PPC); High Court altered death to life; Supreme Court upholds conviction.,High
"Acquittal in CNSA drug recovery case due to prosecution's failure to prove recovery, safe custody, and timely sample transmission.",High
"Appeal against minor rape conviction under PPC 376(1), challenging retrospective sentence and DNA evidence necessity.",High
Petitioner's conviction for 1500 grams heroin possession upheld; Supreme Court dismissed appeal alleging investigation officer's bias.,High
"Appeal against conviction and life sentence for 10kg charas and 5kg opium under Control of Narcotic Substances Act, 1997.",High
Supreme Court acquits petitioner in murderous assault attempt on estranged wife (S.324 PPC) due to flawed prosecution evidence.,High
"Supreme Court reviews homicide conviction and life imprisonment, addressing evidence discrepancies in a jail petition.",High
"Supreme Court acquits appellant in murder case, citing delayed FIR, unreliable chance witnesses, and weak motive evidence.",High
"Supreme Court acquits petitioners in quintuple murder case, finding circumstantial evidence unreliable and insufficient for conviction beyond reasonable doubt.",High
"Conviction appeal (324/337-F(v) PPC) for attempted murder during marital dispute; sentence reduced, Daman payment modified.",High
"Supreme Court dismisses appeals against murder conviction (302 PPC); upholds life imprisonment, refuses sentence enhancement.",High
Appeal against conviction under Explosive Substances and Anti-Terrorism Acts for possessing explosive material.,High
"Petitioners' murder conviction under 302(b)/34 PPC overturned on appeal due to material evidence contradictions, leading to acquittal.",High
"Supreme Court upholds life imprisonment for murder conviction under PPC 302(b), dismissing appeals by convict and complainant for sentence alteration.",High
"Petitioner acquitted in narcotic possession case under CNS Act due to prosecution's contradictory witness testimonies, failing to prove guilt beyond reasonable doubt.",High
"Supreme Court acquits petitioner in murder conviction case due to contradictory eyewitnesses, disproved motive, and unreliable evidence.",High
No judgment text provided; unable to summarize case.,Low
"Petition for leave to appeal against conviction under Section 302 PPC for wife's murder, upholding life sentence based on 'waj takar' evidence.",High
"Petitioner challenges murder conviction (S.302 PPC) and life imprisonment, alleging flawed dying declaration and insufficient evidence.",High
No judgment text provided; unable to extract case details.,Low
"Supreme Court converts convictions from ATA to PPC for abduction for ransom and police murder, finding no terrorism intent.",High
"SC acquits murder convict (s.302 PPC) due to prosecution's failure, citing evidence deficiencies, witness credibility, and improper absconsion weight.",High
"Supreme Court acquits petitioner in kidnapping for ransom case (365-A PPC, 7(e) ATA) due to reasonable doubt and insufficient evidence.",High
Supreme Court dismissed appeal against murder conviction; identity and weapon contentions rejected due to concurrent findings.,High
Homicide conviction review: Petitioner challenges guilty verdict upheld by LHC for Muhammad Aslam's murder; leave to appeal granted.,High
"Petitioners' appeal against murder, terrorism, and other convictions, including death sentences, upheld by Supreme Court.",High
"Murder conviction appeal: Discrepancies in witness accounts, investigation, and uncorroborated evidence led to acquittal of petitioners.",High
Supreme Court upheld murder and attempted murder conviction in family brawl; declined petitioner's appeal against life sentence.,High
Appeal against double murder and injury conviction; death sentence converted to life imprisonment due to pardon and mitigating circumstances.,High
"Conviction appeal against Qatl-i-Amd for murder over water dispute, challenging High Court's life imprisonment and co-convicts' acquittal.",High
Supreme Court appeal against High Court's life imprisonment for murder conviction under Section 302 PPC.,High
"Supreme Court upholds conviction and death sentence for kidnapping, sodomy, rape, and murder of minor girl Zainab Amin.",High
Petitioner's appeal against sodomy conviction (S.377 PPC) allowed due to benefit of doubt concerning conflicting medical/forensic evidence.,High
"SC upholds murder conviction (S.302 PPC) for shooting death over property dispute, refusing leave to appeal.",High
"Homicide conviction (302 PPC) appeal via private complaint, challenging prosecution failure and evidence reappraisal, initially death then life sentence.",High
Supreme Court upholds life imprisonment for petitioner convicted of murderous assault on police officer as proclaimed offender.,High
"Appeal dismissed for petitioner's rape conviction of a minor, addressing delayed FIR, DNA report, and investigation flaws.",High
"Supreme Court upheld conviction for Qatl-i-Amd and assault, maintaining life imprisonment for Aamir Hanif, rejecting all appeals.",High
"Supreme Court dismisses murder and injury conviction appeal, upholding High Court's life imprisonment sentence in plot dispute.",High
"Supreme Court dismisses murder conviction appeal and sentence enhancement petition under PPC (S.302/34, 324, 337-D).",High
Appeal against conviction for 3500 grams cannabis possession under CNS Act; false implication rejected; leave declined.,High
Petitioner's appeal against murder conviction (wife acid attack) under 302(b) PPC; interpretation of 306(c)/308 PPC regarding qisas/ta'zir.,High
"Supreme Court reduces murder conviction under 302(b) PPC to 302(c), fourteen years RI, finding no premeditation.",High
"Appeal against murder conviction u/s 302 PPC; High Court altered death sentence to life imprisonment, dismissed by Supreme Court.",High
Murder conviction appeal challenging High Court's conversion of death sentence to life imprisonment over land dispute under PPC.,High
"Supreme Court acquitted petitioner in a murder appeal, citing material contradictions, delayed FIR, and unreliable dying declaration/recoveries.",High
"Petitioners' appeal against dacoity-cum-murder conviction upheld; challenging identification parade, contradictions, and common object liability.",High
"Petitioner challenges conviction for murderous assault (acid attack) and house trespass, affirmed by High Court.",High
Petitioner's appeal against conviction under S.302 PPC for Qatl-i-Amd dismissed; murder conviction upheld by Supreme Court.,High
"Petitioner's appeal against Qatl-i-Amd conviction rejected; witness identification, absconsion, and motive upheld by Supreme Court.",High
Appeals against kidnapping for ransom convictions under PPC/ATA; Supreme Court acquits due to prosecution evidence contradictions and flawed investigation.,High
"Challenge to conviction for murderous assault and Itlaf-i-Udw leading to leg amputation; concurrent findings upheld, leave declined.",High
"Petitioner appeals homicide and assault conviction, life imprisonment sentence upheld; motive cited as animosity over marriage and property dispute.",High
"Murder conviction challenge, co-accused acquittal questioned, High Court judgment on Qatl-i-Amd penalty assailed by both sides.",High
"Jail petition against qatl-i-amd and attempted murder convictions; Supreme Court upholds High Court's reduced life sentence, dismissing appeal.",High
Petitioners acquitted of double murder and assault due to exaggerated assailant numbers and inconsistent prosecution evidence.,High
"Supreme Court upholds conviction for Charas possession under Control of Narcotic Substances Act, dismissing appeal.",High
"Supreme Court upheld petitioner's homicide conviction, challenging Lahore High Court's life imprisonment sentence through jail petition.",High
"Supreme Court modifies murder conviction (302(b) to 302(c) PPC) for minor, non-premeditated act, reducing sentence to time served.",High
"Petitioner's appeal against conviction for homicide and murderous assault upheld; death penalty commuted to life imprisonment, leave declined.",High
"Husband's appeal against conviction for wife's murder rejected, affirming Section 302 PPC and Islamic injunctions against honor killings.",High
"Murder conviction appeal under Section 302 PPC allowed due to prosecution's suppressed facts, conflicting evidence, resulting in acquittal.",High
Petitioner acquitted in drug trafficking case due to prosecution's failure to prove safe custody of samples and reliance on duplicate forensic report.,High
"Import/Export Act conviction upheld, setting aside compensation condition for release; government to pay buyer, recover from convict.",High
"SC sets aside indefinite incarceration for trade dispute non-payment, directing government compensation and recovery, citing constitutional rights violations.",High
Petitioner's appeal against conviction under Control of Narcotic Substances Act for 1200-grams Charas possession dismissed.,High
"Petitioner Aqil's appeal against double murder conviction under PPC, challenging High Court's life imprisonment sentence alteration.",High
"Supreme Court upholds murder conviction (S.302/34 PPC) and life sentence for Muhammad Bashir; affirms co-accused acquittal, dismisses appeals.",High
Conviction under Narcotic Substances Act overturned due to prosecution's failure to prove safe custody and transmission of drug samples.,High
Petitioner's appeal against conviction for 19 kg charas recovery under Control of Narcotic Substances Act dismissed by Supreme Court.,High
Narcotics conviction appeal regarding 59 kg charas recovery; safe custody and transmission challenges dismissed.,High
Petitioner convicted under CNSA for bhukki possession; SC maintains conviction but reduces life sentence to time served.,High
"Petitioner's appeal against conviction under S. 302 PPC for homicide, challenging life imprisonment sentence from Lahore High Court.",High
Appeal against rape conviction (S.376 PPC); Supreme Court upheld conviction despite delayed FIR and no DNA report.,High
Conviction upheld for narcotics trafficking (10kg cannabis); Supreme Court reduces sentence under Control of Narcotic Substances Act.,High
Petitioner's appeal against murder conviction dismissed; High Court altered death sentence to life imprisonment.,High
"Supreme Court upheld 4kg cannabis possession conviction under CNS Act, rejecting appeal alleging police targeting and forensic report flaws.",High
"Appeal against death sentence for murder conviction upheld by High Court, challenging ocular/medical evidence and motive.",High
"Appeal against conviction for murder, injuries (302/324 PPC); Supreme Court upholds life sentence, directs concurrent running.",High
"Supreme Court considers 316 PPC conviction, diyat payment by impecunious convicts, and indefinite detention implications for child murder.",High
Supreme Court modifies murder conviction (302b PPC) to culpable homicide (302c PPC) due to prosecution flaws and suppressed defense injuries.,High
"Supreme Court upheld convictions for homicide and murderous assault, declining leave but reducing Daman for aged petitioners.",High
"SC defines prisoners' fundamental rights under Articles 9, 25: pre-sentence custody, remissions, and consecutive sentences in criminal cases.",High
"Conviction appeal for police constables' murder after 25 years, challenging identification and evidence; petition fails.",High
Constitution Petitions challenging actions of Federation of Pakistan and President Pervez Musharraf dismissed.,High
Civil petition on right to hearing: competent authority vs. Section Officer; Supreme Court affirmed Section Officer hearing is sufficient.,Medium
Supreme Court affirms rejection of 'Deeni Sanad' holders for local elections without HEC/IBCC equivalence certificates.,High
"Review Petition challenging Supreme Court judge appointments dismissed, counsel Hamid Khan cited for contempt for declining to argue.",High
"Challenge to Referendum Order for Musharraf's presidency and legality of his extra-constitutional powers, previously validated by the Supreme Court.",High
Pakistan Bar Council seeks Supreme Court's direction under Article 184(3) to implement law college affiliation rules to improve legal education quality.,High
"Constitution petitions challenge election disqualification for Senate after National/Provincial Assembly defeat, held discriminatory under Article 25.",High
Shahbaz Sharif's right to return to Pakistan challenged alleged forced exile and proclaimed offender status under Article 184(3).,High
"Constitutional challenge to federal/provincial laws prohibiting ostentatious marriage displays and wasteful expenses, citing legislative competency and Islamic injunctions.",High
SC dismisses petitions challenging High Court judges' elevation to Supreme Court; seniority/legitimate expectancy principles not applicable to SC appointments.,High
Challenge to Election Order 2002 Article 8A: graduation qualification for parliamentarians upheld under Articles 62(i) and 25.,High
"Challenge to Referendum Order 2002 and Chief Executive's presidency, alleging constitutional violation and exceeding Syed Zafar Ali Shah's mandate.",High
"Shariat Review Petition challenges Riba prohibition in financial laws, citing constitutional jurisdiction and implementation risks; remanded for re-determination.",High
"Contempt of court petition for non-refund of customs duty, sales tax, service charges on tractor imports, challenging retrospective tax ordinances.",High
"Challenge to LFO, 17th Amendment, and President's dual COAS role rejected; Court affirms amendments, denies basic structure theory.",High
Watan Party challenged Legal Framework Order 2002 constitutional amendments under Article 184(3); dismissed for lack of locus standi.,High
"Supreme Court clarifies PMDC's powers, medical qualification recognition, and institutional representation under Pakistan Medical & Dental Council Ordinance.",High
"Suo Motu action against Magistrate for illegal physical remand without production, withdrawing judicial powers and initiating disciplinary proceedings.",High
"NAB review petition challenging protective bail granted to a fugitive convicted under NAB Ordinance, alleging the order was per incuriam.",High
"Constitutional validity of Section 69-A, Motor Vehicles Ordinance, regarding transport franchise, violating fundamental rights to trade (Art.18) & equality (Art.25).",High
Court converts Registrar's report on NAB investigator's mysterious death in RPPs corruption case to Article 184(3) Constitutional Petition.,High
"Commission appointed to probe Lal Masjid/Jamia Hafsa incident, casualties, property damage, and assign responsibility.",High
"Supreme Court exercises Article 184(3) jurisdiction over petitions regarding investigations, cybercrime, and forensic analysis of electronic communications (BBMs).",High
"SC declared NRO 2007 void ab initio, reviving criminal and corruption cases against public office holders, violating constitutional articles.",High
"Review Petition concerning Advocate-on-Record's conduct and Solicitor General's incorrect statement in a Constitutional matter, issuing show-cause notices.",High
"Suo Moto action against government, NAB, for defying Supreme Court directions on convicted persons' appointments and constitutional balance.",High
"Suo Moto action: Contempt for obstructing NICL scam investigation, defying Supreme Court orders on public procurement rules violation.",High
"Disqualification of Parliamentarians/MPAs for dual citizenship under Article 63(1)(c); false declarations incur criminal proceedings, benefit refunds.",High
"President's Article 186 reference to revisit Zulfiqar Ali Bhutto case, concerning counsel's ministerial status.",High
"Presidential Reference on Reko Diq mining settlement validity, international arbitration awards, and constitutional review of investment protection bill.",High
"No judgment text provided, unable to derive specific case details for analysis.",Low
"President's Article 186 reference on judicial appointments: Judicial Commission criteria, Parliamentary Committee role, and Chief Justice seniority.",High
"Presidential Reference under Article 186 concerning Zulfiqar Ali Bhutto's criminal trial, exploring constitutional-legal aspects and bias.",High
"Presidential Reference under Article 186 seeking advisory opinion on Zulfiqar Ali Bhutto case, scheduled for detailed hearing.",High
Supreme Court advisory on Zulfiqar Bhutto's murder conviction found denial of fair trial and due process.,High
"Presidential Reference on secret ballot for Senate elections; ECP must ensure honest, fair, corruption-free polls, ballot secrecy not absolute.",High
Presidential Reference on Reko Diq mining settlement agreements and constitutionality of Foreign Investment Bill to resolve ICSID award.,High
"Advisory opinion on Zulfiqar Ali Bhutto's murder trial, finding it lacked fair trial and due process under Article 186.",High
"Presidential Reference on Zulfiqar Ali Bhutto's murder trial regarding fair trial and due process, finding constitutional lapses.",High
Advisory opinion on Article 226 'secret ballot' applicability to Senate elections; Election Commission mandate for transparency reaffirmed.,High
Presidential Reference under Article 186 to revisit Zulfiqar Ali Bhutto case; advocate's license suspended for contempt.,High
Presidential reference under Article 186 to revisit Zulfiqar Ali Bhutto's case; lawyer cited for contempt.,High
"Supreme Court reviews civil applications challenging prior orders, referencing established legal precedents from earlier judgments.",Medium
"Supreme Court interprets Article 63A regarding political defection, no-confidence motions, and disqualification, emphasizing party cohesion.",High
"SC declares KMC's illegal allotment of 200-acre Gutter Baghicha amenity land to its housing society void, orders resumption for public park.",High
"Review petition concerning counsel substitution for Federation in constitutional matter; court discourages changes, grants adjournment for instructions.",High
Federation's Civil Review Petition challenging Supreme Court Rules on legal representation; counsel lacks instructions in constitutional matter.,High
"Supreme Court dismisses review, affirming judicial review of Parliamentary Committee's judicial appointment decisions under Article 175A.",High
"No case report provided for analysis, unable to extract specific legal details.",Low
"Supreme Court *suo moto* action on non-bonafide loan write-offs by financial institutions, implementing commission recommendations for recovery.",High
,Low
"Suo Moto on COVID-19 pandemic response; scrutinizing government actions, striking down movement restrictions, ensuring healthcare, and protecting fundamental rights.",High
"Suo Moto action on COVID-19 pandemic response, national policy, federal-provincial powers, taxation, business lockdown, and Zakat funds.",High
"Suo Moto action on COVID-19 pandemic, ordering reopening businesses, malls, and lifting weekend lockdown, citing constitutional rights violations.",High
"SC Suo Moto on COVID-19 pandemic response, oxygen supply, medical procurement, pricing regulation, and government agency irregularities.",High
"Suo Motu case on COVID-19 pandemic response, national legislation, fundamental rights, worker safety, PPE, and locust control.",High
"Suo Moto on COVID-19 pandemic, locust attack, and sanitary workers' rights, asserting federal authority under Article 149.",High
"Suo Moto action on COVID-19 pandemic, reviewing government response, public health, Zakat funds, and labor law compliance.",High
"Suo Moto on COVID-19 pandemic, fake pilot licenses, NDMA procurement, and Sindh budget mismanagement impacting public welfare.",High
Supreme Court takes suo moto notice of Deputy Speaker's ruling dismissing no-confidence motion against Prime Minister under Article 5.,High
"SC declares Deputy Speaker's ruling on PM's no-confidence motion and Assembly dissolution unconstitutional, restores government.",High
"Supreme Court voids Deputy Speaker's ruling on PM's no-confidence motion, dissolving National Assembly; restores Assembly, PM, upholding constitutional articles.",High
"Supreme Court declares Deputy Speaker's ruling on no-confidence vote against PM, and National Assembly dissolution, unconstitutional.",High
Suo motu invocation concerning provincial assembly dissolution and constitutional authority for appointing election dates under Article 184(3).,High
